nr;FH11_PULL
1;55.425020
2;55.425020
3;55.425020
4;55.425020
5;55.425020
6;55.425020
7;55.425020
8;55.425020
9;55.425020
10;55.425020
11;55.425020
12;55.425020
13;55.425020
14;55.425020
15;55.425020
16;55.425020
17;55.425020
18;55.425020
19;55.425020
20;55.425020
21;55.425020
22;55.425020
23;55.425020
24;55.425020
25;55.425020
26;55.425020
27;55.425020
28;55.425020
29;55.425020
30;55.425020
31;55.425020
32;55.425020
33;55.425020
34;55.425020
35;55.425020
36;55.425020
37;55.425020
38;55.425020
39;55.425020
40;55.425020
41;55.425020
42;55.425020
43;55.425020
44;55.425020
45;55.425020
46;55.425020
47;55.425020
48;55.425020
49;55.425020
50;55.425020
51;55.425020
52;55.425020
53;55.425020
54;55.425020
55;55.425020
56;55.425020
57;55.425020
58;55.425020
59;55.425020
60;55.425020
61;55.425020
62;55.425020
63;55.425020
64;55.425020
65;55.425020
66;55.425020
67;55.425020
68;55.425020
69;55.425020
70;55.425020
71;55.425020
72;55.425020
73;55.425020
74;55.425020
75;55.425020
76;55.425020
77;55.425020
78;55.425020
79;55.425020
80;55.425020
81;55.425020
82;55.425020
83;55.425020
84;55.425020
85;55.425020
86;55.425020
87;55.425020
88;55.425020
89;55.425020
90;55.425020
91;55.425020
92;55.425020
93;55.425020
94;55.425020
95;55.425020
96;55.425020
97;55.425020
98;55.425020
99;55.425020
100;55.425020
101;55.425020
102;55.425020
103;55.425020
104;55.425020
105;55.425020
106;55.425020
107;55.425020
108;55.425020
109;55.425020
110;55.425020
111;55.425020
112;55.425020
113;55.425020
114;55.425020
115;55.425020
116;55.425020
117;55.425020
118;55.425020
119;55.425020
120;55.425020
121;55.425020
122;55.425020
123;55.425020
124;55.425020
125;55.425020
126;55.425020
127;55.425020
128;55.425020
129;55.425020
130;55.425020
131;55.425020
132;55.425020
133;55.425020
134;55.425020
135;55.425020
136;55.425020
137;55.425020
138;55.425020
139;55.425020
140;55.425020
141;55.425020
142;55.425020
143;55.425020
144;55.425020
145;55.425020
146;55.425020
147;55.425020
148;55.425020
149;55.425020
150;55.425020
151;55.425020
152;55.425020
153;55.425020
154;55.425020
155;55.425020
156;55.425020
157;55.425020
158;55.425020
159;55.425020
160;55.425020
161;55.425020
162;55.425020
163;55.425020
164;55.425020
165;55.425020
166;55.425020
167;55.425020
168;55.425020
169;55.425020
170;55.425020
171;55.425020
172;55.425020
173;55.425020
174;55.425020
175;55.425020
176;55.425020
177;55.425020
178;55.425020
179;55.425020
180;55.425020
181;55.425020
182;55.425020
183;55.425020
184;55.425020
185;55.425020
186;55.425020
187;55.425020
188;55.425020
189;55.425020
190;55.425020
191;55.425020
192;55.425020
193;55.425020
194;55.425020
195;55.425020
196;55.425020
197;55.425020
198;55.425020
199;55.425020
200;55.425020
201;55.425020
202;55.425020
203;55.425020
204;55.425020
205;55.425020
206;55.425020
207;55.425020
208;55.425020
209;55.425020
210;55.425020
211;55.425020
212;55.425020
213;55.425020
214;55.425020
215;55.425020
216;55.425020
217;55.425020
218;55.425020
219;55.425020
220;55.425020
221;55.425020
222;55.425020
223;55.425020
224;55.425020
225;55.425020
226;55.425020
227;55.425020
228;55.425020
229;55.425020
230;55.425020
231;55.425020
232;55.425020
233;55.425020
234;55.425020
235;55.425020
236;55.425020
237;55.425020
238;55.425020
239;55.425020
240;55.425020
241;55.425020
242;55.425020
243;55.425020
244;55.425020
245;55.425020
246;55.425020
247;55.425020
248;55.425020
249;55.425020
250;55.425020
251;55.425020
252;55.425020
253;55.425020
254;55.425020
255;55.425020
256;55.425020
257;55.425020
258;55.425020
259;55.425020
260;55.425020
261;55.425020
262;55.425020
263;55.425020
264;55.425020
265;55.425020
266;55.425020
267;55.425020
268;55.425020
269;55.425020
270;55.425020
271;55.425020
272;55.425020
273;55.425020
274;55.425020
275;55.425020
276;55.425020
277;55.425020
278;55.425020
279;55.425020
280;55.425020
281;55.425020
282;55.425020
283;55.425020
284;55.425020
285;55.425020
286;55.425020
287;55.425020
288;55.425020
289;55.425020
290;55.425020
291;55.425020
292;55.425020
293;55.425020
294;55.425020
295;55.425020
296;55.425020
297;55.425020
298;55.425020
299;55.425020
300;55.425020
301;55.425020
302;55.425020
303;55.425020
304;55.425020
305;55.425020
306;55.425020
307;55.425020
308;55.425020
309;55.425020
310;55.425020
311;55.425020
312;55.425020
313;55.425020
314;55.425020
315;55.425020
316;55.425020
317;55.425020
318;55.425020
319;55.425020
320;55.425020
321;55.425020
322;55.425020
323;55.425020
324;55.425020
325;55.425020
326;55.425020
327;55.425020
328;55.425020
329;55.425020
330;55.425020
331;55.425020
332;55.425020
333;55.425020
334;55.425020
335;55.425020
336;55.425020
337;55.425020
338;55.425020
339;55.425020
340;55.425020
341;55.425020
342;55.425020
343;55.425020
344;55.425020
345;55.425020
346;55.425020
347;55.425020
348;55.425020
349;55.425020
350;55.425020
351;55.425020
352;55.425020
353;55.425020
354;55.425020
355;55.425020
356;55.425020
357;55.425020
358;55.425020
359;55.425020
360;55.425020
361;55.425020
362;55.425020
363;55.425020
364;55.425020
365;55.425020
366;55.425020
367;55.425020
368;55.425020
369;55.425020
370;55.425020
371;55.425020
