nr;FH11_PULL
1;79.800000
2;79.800000
3;79.800000
4;79.800000
5;79.800000
6;79.800000
7;79.800000
8;79.800000
9;79.800000
10;79.800000
11;79.800000
12;79.800000
13;79.800000
14;79.800000
15;79.800000
16;79.800000
17;79.800000
18;79.800000
19;79.800000
20;79.800000
21;79.800000
22;79.800000
23;79.800000
24;79.800000
25;79.800000
26;79.800000
27;79.800000
28;79.800000
29;79.800000
30;79.800000
31;79.800000
32;79.800000
33;79.800000
34;79.800000
35;79.800000
36;79.800000
37;79.800000
38;79.800000
39;79.800000
40;79.800000
41;79.800000
42;79.800000
43;79.800000
44;79.800000
45;79.800000
46;79.800000
47;79.800000
48;79.800000
49;79.800000
50;79.800000
51;79.800000
52;79.800000
53;79.800000
54;79.800000
55;79.800000
56;79.800000
57;79.800000
58;79.800000
59;79.800000
60;79.800000
61;79.800000
62;79.800000
63;79.800000
64;79.800000
65;79.800000
66;79.800000
67;79.800000
68;79.800000
69;79.800000
70;79.800000
71;79.800000
72;79.800000
73;79.800000
74;79.800000
75;79.800000
76;79.800000
77;79.800000
78;79.800000
79;79.800000
80;79.800000
81;79.800000
82;79.800000
83;79.800000
84;79.800000
85;79.800000
86;79.800000
87;79.800000
88;79.800000
89;79.800000
90;79.800000
91;79.800000
92;79.800000
93;79.800000
94;79.800000
95;79.800000
96;79.800000
97;79.800000
98;79.800000
99;79.800000
100;79.800000
101;79.800000
102;79.800000
103;79.800000
104;79.800000
105;79.800000
106;79.800000
107;79.800000
108;79.800000
109;79.800000
110;79.800000
111;79.800000
112;79.800000
113;79.800000
114;79.800000
115;79.800000
116;79.800000
117;79.800000
118;79.800000
119;79.800000
120;79.800000
121;79.800000
122;79.800000
123;79.800000
124;79.800000
125;79.800000
126;79.800000
127;79.800000
128;79.800000
129;79.800000
130;79.800000
131;79.800000
132;79.800000
133;79.800000
134;79.800000
135;79.800000
136;79.800000
137;79.800000
138;79.800000
139;79.800000
140;79.800000
141;79.800000
142;79.800000
143;79.800000
144;79.800000
145;79.800000
146;79.800000
147;79.800000
148;79.800000
149;79.800000
150;79.800000
151;79.800000
152;79.800000
153;79.800000
154;79.800000
155;79.800000
156;79.800000
157;79.800000
158;79.800000
159;79.800000
160;79.800000
161;79.800000
162;79.800000
163;79.800000
164;79.800000
165;79.800000
166;79.800000
167;79.800000
168;79.800000
169;79.800000
170;79.800000
171;79.800000
172;79.800000
173;79.800000
174;79.800000
175;79.800000
176;79.800000
177;79.800000
178;79.800000
179;79.800000
180;79.800000
181;79.800000
182;79.800000
183;79.800000
184;79.800000
185;79.800000
186;79.800000
187;79.800000
188;79.800000
189;79.800000
190;79.800000
191;79.800000
192;79.800000
193;79.800000
194;79.800000
195;79.800000
196;79.800000
197;79.800000
198;79.800000
199;79.800000
200;79.800000
201;79.800000
202;79.800000
203;79.800000
204;79.800000
205;79.800000
206;79.800000
207;79.800000
208;79.800000
209;79.800000
210;79.800000
211;79.800000
212;79.800000
213;79.800000
214;79.800000
215;79.800000
216;79.800000
217;79.800000
218;79.800000
219;79.800000
220;79.800000
221;79.800000
222;79.800000
223;79.800000
224;79.800000
225;79.800000
226;79.800000
227;79.800000
228;79.800000
229;79.800000
230;79.800000
231;79.800000
232;79.800000
