$Date;$Time;FH11_Z2C_TEMP_SP;FH11_Z2C_TEMP_PV;FH11_Z1C_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z2_TEMP_LT;FH11_Z2_TEMP_RT;FH11_PULL;FH11_Z2L_MIX_VLV_POS_PV;FH11_Z2R_MIX_VLV_POS_PV;FH11_Z2L_MIX_PRES_PV;FH11_Z2R_MIX_PRES_PV;FH11_Z2_CLN_VLV_POS_PV;FH11_Z2_WG_DMP_POS_PV
08/17/17;10:34:24;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.261574;1.148727;16.78241;4.21627
08/17/17;10:34:25;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.255787;1.157407;16.81134;4.21627
08/17/17;10:34:26;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.247106;1.140046;16.81134;4.298942
08/17/17;10:34:27;1167;1164.902;1177.488;1159.983;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.14294;16.55093;4.21627
08/17/17;10:34:28;1167;1164.902;1177.488;1159.983;1170.833;1170.833;46.01521;29.25347;19.56018;1.255787;1.154514;16.52199;4.298942
08/17/17;10:34:29;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.148727;16.52199;4.21627
08/17/17;10:34:30;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.247106;1.14294;16.52199;4.298942
08/17/17;10:34:31;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.244213;1.134259;16.52199;4.21627
08/17/17;10:34:32;1167;1164.902;1177.488;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.148727;16.52199;4.21627
08/17/17;10:34:33;1167;1164.902;1177.488;1159.693;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.134259;16.52199;4.298942
08/17/17;10:34:34;1167;1164.902;1177.561;1159.983;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.154514;16.52199;4.21627
08/17/17;10:34:35;1167;1164.902;1177.561;1159.983;1170.833;1170.833;46.01521;29.25347;19.56018;1.255787;1.14294;16.55093;4.21627
08/17/17;10:34:36;1167;1164.902;1177.561;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.128472;16.52199;4.21627
08/17/17;10:34:37;1167;1164.902;1177.561;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.247106;1.125579;16.2037;4.21627
08/17/17;10:34:38;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.247106;1.131366;16.17477;4.21627
08/17/17;10:34:39;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.247106;1.134259;16.2037;4.298942
08/17/17;10:34:40;1167;1164.902;1177.488;1159.838;1170.833;1170.689;46.01521;29.25347;19.56018;1.255787;1.14294;16.2037;4.21627
08/17/17;10:34:41;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.25;1.140046;16.2037;4.298942
08/17/17;10:34:42;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.255787;1.145833;16.2037;4.298942
08/17/17;10:34:43;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.258681;1.140046;16.2037;4.298942
08/17/17;10:34:44;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.244213;1.148727;16.17477;4.21627
08/17/17;10:34:45;1167;1164.902;1177.705;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.244213;1.131366;16.2037;4.298942
08/17/17;10:34:46;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.258681;1.145833;16.17477;4.298942
08/17/17;10:34:47;1167;1164.902;1177.633;1159.838;1170.833;1170.833;46.01521;29.25347;19.56018;1.258681;1.145833;16.17477;4.298942
08/17/17;10:34:48;1167;1165.046;1177.705;1159.693;1170.833;1170.689;46.01521;29.25347;19.56018;1.247106;1.148727;16.17477;4.21627
